EmpID,ProjectID,DateFrom,DateTo
844,40,2007-03-24,2021-04-22
851,7334,2015-07-09,2019-06-30
174,8638,2020-01-01,2021-03-11
574,5404,2021-09-27,2022-02-18
869,3663,2009-02-11,2015-01-29
813,8321,2010-06-09,2015-02-11
505,4482,2016-03-01,2016-09-10
103,6747,2005-07-03,2019-05-27
535,5437,2014-12-23,2021-10-19
467,8033,2018-07-26,2021-01-26
59,5544,2008-01-08,2015-05-03
526,561,2013-08-23,2020-07-14
295,4102,2017-03-07,2022-05-10
6,6876,2017-01-27,2018-07-22
847,8462,2013-12-29,2019-07-28
3,7113,2016-05-31,2023-01-08
505,9349,2012-07-08,2015-10-03
793,1153,2011-08-07,2014-11-03
863,5487,2015-09-24,2019-08-14
113,258,2007-12-19,2009-12-01
764,8168,2010-02-10,2019-03-18
104,6819,2011-08-06,2015-01-24
325,8471,2005-04-25,2008-10-11
459,9465,2013-10-27,2014-05-07
902,1927,2015-10-14,2019-12-04
81,6727,2005-05-10,2016-03-10
427,8710,2010-06-08,2020-09-10
116,5816,2009-06-08,2015-01-05
680,8537,2010-06-15,2016-10-12
779,8926,2014-05-09,2015-01-05
14,6404,2007-08-16,2010-11-24
77,1740,2011-07-12,2012-04-06
702,2648,2022-08-06,2023-06-30
308,6444,2018-11-01,2020-07-12
934,2065,2005-10-04,2018-10-14
405,6289,2021-08-25,2021-09-17
149,5,2021-12-27,2023-02-06
610,9840,2006-07-05,2015-10-18
383,4719,2017-03-14,2017-11-02
821,7091,2017-02-25,2022-06-02
896,2214,2012-09-24,2022-01-14
519,3047,2006-06-30,2016-05-29
520,615,2015-11-27,2018-08-26
20,9590,2016-03-28,2018-03-02
256,5749,2014-12-10,2015-01-22
743,1991,2008-10-17,2010-02-20
133,2836,2012-01-11,2016-12-05
274,6558,2009-06-14,2014-11-11
824,2328,2017-12-04,NULL
812,298,2016-12-14,2021-06-15
56,3216,2023-01-10,2023-06-17
469,7675,2021-06-13,2023-06-12
61,4564,2018-09-24,2022-03-17
389,4671,2005-11-12,2008-01-03
940,2550,2011-02-06,2016-09-27
381,9402,2007-07-21,2007-10-27
433,5500,2012-11-17,2012-11-18
495,9351,2005-06-20,2016-11-05
500,1838,2008-08-16,2012-09-27
358,141,2023-04-06,2023-06-28
752,9642,2013-08-03,2013-12-24
852,1605,2007-10-05,2017-12-21
874,3219,2008-10-07,2023-06-04
980,9899,2008-03-16,2008-09-15
543,3576,2009-08-29,2019-01-04
718,9530,2022-11-25,2023-02-25
732,5993,2005-06-17,2023-06-28
447,4007,2011-06-28,2014-07-23
845,8719,2006-03-10,2009-05-08
398,3877,2015-01-21,2016-09-28
568,4551,2023-06-30,2023-07-01
38,6552,2021-04-22,2023-04-08
812,510,2011-12-26,2016-06-26
627,5560,2006-09-12,2017-12-02
52,5276,2015-09-20,2019-08-05
312,7687,2009-02-18,2022-10-06
811,842,2012-10-15,2013-04-21
31,4031,2021-01-24,2021-04-27
834,8803,2006-07-20,2016-06-14
676,1378,2016-08-09,2023-06-26
364,3116,2021-08-26,2021-11-18
269,3238,2016-08-25,2021-05-21
856,8479,2019-03-19,2020-01-16
538,997,2015-05-16,2023-01-31
882,5061,2019-05-08,2019-10-02
376,6660,2020-02-18,2021-07-09
865,440,2014-05-31,2016-08-05
104,7751,2009-12-06,2010-05-11
44,4235,2019-05-09,2021-09-30
968,8432,2006-04-01,2007-01-26
868,5489,2015-10-09,2022-01-26
142,2293,2021-10-07,2022-04-04
674,6275,2017-08-20,2022-08-13
602,78,2012-02-08,2020-07-04
989,9649,2020-08-17,2021-02-10
296,3077,2017-04-06,2017-08-19
327,9232,2017-09-13,2022-09-23
530,5959,2019-09-29,2021-10-10
